,Date,Time_GPATS,Unknown1,Lat_GPATS,Lon_GPATS,Unknown2,ID,Lat_IG,Lon_IG,FFDI,Fuel type,Time_IG,Lat_diff,Lon_diff
24,2008-01-01,02:20:32,198.0,-37.225849,148.247491,-15.8,D564704,-37.2248,148.2963,19.22,High Elevation Woodland grass,14:35:00,0.0010489999999947486,0.04880900000000565
32,2008-01-01,02:34:31,148.0,-37.199165,148.29961,-32.099998,D564704,-37.2248,148.2963,19.22,High Elevation Woodland grass,14:35:00,-0.025635000000001185,-0.003309999999999036
36,2008-01-01,02:34:31,244.0,-37.186209,148.331544,-15.0,D564704,-37.2248,148.2963,19.22,High Elevation Woodland grass,14:35:00,-0.03859100000000382,-0.035244000000005826
40,2008-01-01,02:36:50,693.0,-37.235561,148.304711,-26.200001,D564704,-37.2248,148.2963,19.22,High Elevation Woodland grass,14:35:00,0.010760999999995136,-0.008410999999995283
44,2008-01-01,02:36:50,763.0,-37.225806,148.332419,-40.799999,D564704,-37.2248,148.2963,19.22,High Elevation Woodland grass,14:35:00,0.0010059999999967317,-0.036118999999985135
48,2008-01-01,02:38:14,131.0,-37.233553,148.298907,-37.200001,D564704,-37.2248,148.2963,19.22,High Elevation Woodland grass,14:35:00,0.008752999999998679,-0.0026070000000117943
52,2008-01-01,02:38:14,190.0,-37.226296,148.335159,-29.6,D564704,-37.2248,148.2963,19.22,High Elevation Woodland grass,14:35:00,0.001495999999995945,-0.0388590000000022
56,2008-01-01,02:38:14,263.0,-37.230444,148.29833,-16.4,D564704,-37.2248,148.2963,19.22,High Elevation Woodland grass,14:35:00,0.005643999999996652,-0.0020299999999906504
60,2008-01-01,02:39:23,825.0,-37.225229,148.317887,-28.9,D564704,-37.2248,148.2963,19.22,High Elevation Woodland grass,14:35:00,0.0004289999999969041,-0.021587000000010903
64,2008-01-01,02:39:23,851.0,-37.184197,148.253565,-9.6000004,D564704,-37.2248,148.2963,19.22,High Elevation Woodland grass,14:35:00,-0.040603000000004386,0.042734999999993306
68,2008-01-01,02:39:23,905.0,-37.203036,148.308743,-31.9,D564704,-37.2248,148.2963,19.22,High Elevation Woodland grass,14:35:00,-0.021764000000004557,-0.012442999999990434
72,2008-01-01,02:41:10,158.0,-37.21848,148.313201,-9.6999998,D564704,-37.2248,148.2963,19.22,High Elevation Woodland grass,14:35:00,-0.006320000000002324,-0.016900999999990063
76,2008-01-01,02:41:10,179.0,-37.213,148.332866,-6.1999998,D564704,-37.2248,148.2963,19.22,High Elevation Woodland grass,14:35:00,-0.01180000000000092,-0.03656599999999344
84,2008-01-01,02:43:32,758.0,-37.23619,148.30819,-24.799999,D564704,-37.2248,148.2963,19.22,High Elevation Woodland grass,14:35:00,0.011389999999998679,-0.011889999999993961
88,2008-01-01,02:43:32,767.0,-37.231293,148.314956,-8.8000002,D564704,-37.2248,148.2963,19.22,High Elevation Woodland grass,14:35:00,0.006492999999998972,-0.0186559999999929
92,2008-01-01,02:47:40,258.0,-37.231983,148.285723,13.8999996,D564704,-37.2248,148.2963,19.22,High Elevation Woodland grass,14:35:00,0.007182999999997719,0.010577000000012049
513,2008-01-01,03:38:47,91.0,-37.535072,148.089429,5.80000019,D564741,-37.5735,148.1143,19.46,Temperate Grassland / Sedgeland,16:00:00,-0.03842800000000324,0.024870999999990318
